Date,Product_Name,Brand,Category_Type,Price_INR,Marketing_Spend_INR,Event_Type,Units_Sold
2024-01-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1686.0,Wedding Season,160
2024-01-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4525.0,Wedding Season,165
2024-01-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1036.0,Wedding Season,161
2024-01-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4294.0,Wedding Season,181
2024-01-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1090.0,Wedding Season,173
2024-01-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1093.0,Wedding Season,206
2024-01-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2845.0,Wedding Season,213
2024-01-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2644.0,Wedding Season,201
2024-01-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3438.0,Wedding Season,158
2024-01-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2682.0,Wedding Season,177
2024-01-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2432.0,Wedding Season,158
2024-01-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3044.0,Wedding Season,165
2024-01-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2506.0,Wedding Season,195
2024-01-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4114.0,Wedding Season,215
2024-01-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1129.0,Wedding Season,181
2024-01-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1537.0,Wedding Season,167
2024-01-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4168.0,Wedding Season,174
2024-01-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4457.0,Wedding Season,169
2024-01-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4592.0,Wedding Season,184
2024-01-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4806.0,Wedding Season,191
2024-01-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2970.0,Wedding Season,211
2024-01-22,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3113.0,Wedding Season,164
2024-01-23,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3507.0,Wedding Season,184
2024-01-24,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,8944.0,National Sale,362
2024-01-25,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,3172.0,National Sale,399
2024-01-26,Clinic Plus Strong & Long (650ml),Clinic Plus,General,323,9824.0,National Sale,369
2024-01-27,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1998.0,Wedding Season,198
2024-01-28,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3941.0,Wedding Season,213
2024-01-29,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2662.0,Wedding Season,168
2024-01-30,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4431.0,Wedding Season,171
2024-01-31,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1415.0,Wedding Season,167
2024-02-01,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2024.0,Wedding Season,167
2024-02-02,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3739.0,Wedding Season,177
2024-02-03,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1235.0,Wedding Season,188
2024-02-04,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4185.0,Wedding Season,205
2024-02-05,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2214.0,Wedding Season,203
2024-02-06,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1477.0,Wedding Season,160
2024-02-07,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4309.0,Wedding Season,161
2024-02-08,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2133.0,Wedding Season,162
2024-02-09,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1731.0,Wedding Season,160
2024-02-10,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4983.0,Wedding Season,192
2024-02-11,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4185.0,Wedding Season,220
2024-02-12,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3095.0,Wedding Season,166
2024-02-13,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1818.0,Wedding Season,172
2024-02-14,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3497.0,Wedding Season,169
2024-02-15,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3668.0,Wedding Season,163
2024-02-16,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,4747.0,Wedding Season,182
2024-02-17,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1877.0,Wedding Season,195
2024-02-18,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1674.0,Wedding Season,220
2024-02-19,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,1141.0,Wedding Season,177
2024-02-20,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,3101.0,Wedding Season,174
2024-02-21,Clinic Plus Strong & Long (650ml),Clinic Plus,General,380,2546.0,Wedding Season,156
